product-name,product-price
Normatec Premier Bacak Masaj Aleti,76900.00
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol  + PS5 Şarj İstasyonu (Yeni Sürüm),37799.00
Beosound Explore Suya Dayanıklı Duman Grisi Taşınabilir Bluetooth Hoparlör,13449.00
Accentum Open True Wireless Krem Kulak İçi Bluetooth Kulaklık,4999.00
Silk Expert Pro 5 Venus PL5146 Çanta ve 2 Başlıklı IPL Lazer Epilasyon Aleti,19999.00
FM 120 Shiatsu Ayak Masaj Aleti,29950.00
FS1000 Seyahat Boy Kablosuz Mini Yüz Epilatörü + Temizleme Fırçası ve Pil,1199.00
Classica Solo Şarap Dolabı 368 Lt,208590.00
50's Style Casa Moonlight® Koleksiyonu ,223950.00
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol Kırmızı+ PS5 Şarj İstasyonu (Yeni Sürüm),38999.00
Instax 20'li Film Tüm Mini Makineler ile Uyumlu,1249.00
PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,25999.00
Beosound A1 3. Nesil Su Geçirmez Taşınabilir Bluetooth Hoparlör,25149.00
Cinetic Big Ball Absolute 2 Elektrikli Süpürge,18999.00
InnerTrace 8 Elektrotlu Akıllı Tartı RBS6000,5999.00
Creami® Deluxe 10-in-1 Dondurma ve Frozen Makinesi,17999.00
Meta Quest 3S 128GB Beyaz VR Sanal Gerçeklik Gözlüğü ,23499.00
A2024 Yeni Seri 3 Milyon Atım 3 Başlık Ultra Hızlı IPL Epilasyon Cihazı,10999.00
iPhone 17 Pro 256GB Kozmik Turuncu Akıllı Cep Telefonu MG8H4TU/A,117524.74
615 Vinocase Siyah Soğutucu Şarap Dolabı,16999.00
Buhar Basınçlı Antibakteriyel Kırık Beyaz Paspas ve Mop Seti,2999.00
Hadenys Hi-Fi Kulak Üstü Kablolu Kulaklık,46199.00
P-KE2 Mavi Su Geçirmez Çocuk Su Altı Kamerası ,2999.00
JetBoots Pro Plus Kablosuz Kompresyon Botu,57000.00
Dem-cf15w Saç Kurutma Ve Fön Makinesi ,1199.00
Pro Express Protect GV9230 Buhar Kazanlı Ütü,12999.00
Fast Platinum Vücut Analiz Tartısı,233480.00
SteamPickUp 3-in-1 Sert Zemin Buharlı Temizleyici,8999.00
RBS4000 Wellness Akıllı Vücut Analiz Tartısı,2499.00
StainStriker Pet Başlıklı Leke Çıkarma ve Koltuk Yıkama Makinesi,7999.00
C6688E Style Secret Air Auto-Curl Teknolojili Sıcak Hava İle Bukle Yapan Otomatik Saç Maşası,10999.00
Arete Two Nem Alma ve Hava Temizleme Cihazı 12 lt,26999.99
V12 Detect Slim Absolute Kablosuz Dikey Süpürge,36999.00
Botticelli Evoluzione Dual Boiler Yarı Profesyonel Espresso Kahve Makinesi,139000.00
"Combi All-in-One Multicooker Fırın ve Az Yağlı Pişirici 12,5 lt",15999.00
Bellaria Vetro Air Purifier Giallo Hava Temizleme Cihazı,70300.00
DT2026 Pure Pop Sarı Düzleştirici Buharlı Dikey Ütü,1999.00
SuperGrill 3in1 Inox 6 Dilim Kapasiteli Barbekü Izgara ve Tost Makinesi 2000 Watt,7999.00
Service 18 Şişe Kapasiteli Solo Şarap Dolabı,32990.00
150-200 Adet Kabinet Puro Dolabı RA-999,154271.76
SMF03GREU 50's Style Retro Barut Grisi Stand Mikser,51950.00
Instax Mini 12 Mavi Fotoğraf Makinesi + Fotoğraf Çerçeve Seti,6799.00
50's Style Moonlight® Coffe & Toaster & Kettle Koleksiyonu,52950.00
P-KE6 Bej Karaoke Party Hoparlör ve 2 Mikrofon Set,4285.00
Guard S1 Junior Terra Red Toz Torbalı Süpürge,15990.00
BTH13 Pembe Kedi Kulaklı Unisex Çocuk Bluetooth Kulak Üstü Bluetooth Kulaklık ,1699.00
SC 5 Deluxe Signature Line Buharlı Temizlik Makinesi,27999.00
Glam Gold 5 Başlıklı Düz Dalgalı ve Bukleli Çok Amaçlı Saç Şekillendirici ,19999.00
Spot+Scrub™ Ai Islak ve Kuru Temizleme Özellikli Robot Süpürge,59999.00
SES876 The Barista Express™ Impress Espresso Makinesi,129999.00
S8 Piano Black Tam Otomatik Kahve Makinesi,249999.00
J10 Piano Black (EA) Tam Otomatik Kahve Makinesi,279999.00
L500 Hava Nemlendirici,11549.99
HR 2000 Burun ve Kulak Tüyü Düzelticisi,5100.00
Accentum Beyaz Wireless Kulak Üstü Bluetooth Kulaklık,13499.00
6000 Serisi XC6552/01 Kablosuz Dikey Süpürge,10999.00
D40 Black İnissia Kapsüllü Kahve Makinesi,8234.00
TS700 Isı Terapisi ve Termoterapi Derin Doku 4D Shiatsu Akıllı Bel ve Sırt Masaj Yastığ,9999.00
BeoSound 2 3. Nesil Multiroom Siyah Hi-Fi Bluetooth Hoparlör,251149.00
Kitchenminis Su Isıtıcısı ve Çay Makinesi 7211003374,10999.00
PowerPro Max FC9749/07 Toz Torbasız Elektrikli Süpürge,8879.00
Phantom Ultimate Opéra de Paris Beyaz Kablosuz Bluetooth Hoparlör,171699.00
Hepsi Bir Arada Series 7 Islak ve Kuru 13'ü 1 Arada Tıraş Kiti AIO7560,3699.00
Apple Watch Uyumlu Tassel Chain Akıllı Saat Kordon,1399.90
FC 8 Smart Signature Line Islak ve Kuru Dikey Süpürge,27499.00
Phantom Ultimate Opéra de Paris Beyaz Bluetooth Hoparlör,362499.00
Kult X Paslanmaz Çelik Spiral Rende,9999.00
SDC465 The Luxe Brewer™ Thermal Filtre Kahve Makinesi,49999.00
